Key,File,English
TheMeanOnesServerSideElevator,Item,[4682B4]Steel Blue Elevator[-]
TheMeanOnesServerSideElevatorDesc2,Item,This Elevator Base will raise you 8 Blocks high
TheMeanOnesServerSideElevatorVariantHelper,Item,[4682B4]Elevator Pad[-]
TheMeanOnesServerSideElevatorRed,Item,[FF0000]Red Elevator[-]
TheMeanOnesServerSideElevatorOrange,Item,[FFA500]Orange Elevator[-]
TheMeanOnesServerSideElevatorYellow,Item,[FFFF00]Yellow Elevator[-]
TheMeanOnesServerSideElevatorGreen,Item,[008000]Green Elevator[-]
TheMeanOnesServerSideElevatorBlue,Item,[0000FF]Blue Elevator[-]
TheMeanOnesServerSideElevatorIndigo,Item,[4B0082]Indigo Elevator[-]
TheMeanOnesServerSideElevatorViolet,Item,[EE82EE]Violet Elevator[-]
TheMeanOnesServerSideElevatorNeonRed,Item,[FF073A]Neon Red Elevator[-]
TheMeanOnesServerSideElevatorNeonOrange,Item,[FF6700]Neon Orange Elevator[-]
TheMeanOnesServerSideElevatorNeonYellow,Item,[FFFF33]Neon Yellow Elevator[-]
TheMeanOnesServerSideElevatorNeonGreen,Item,[39FF14]Neon Green Elevator[-]
TheMeanOnesServerSideElevatorNeonBlue,Item,[1F51FF]Neon Blue Elevator[-]
TheMeanOnesServerSideElevatorNeonIndigo,Item,[5B00FF]Neon Indigo Elevator[-]
TheMeanOnesServerSideElevatorNeonViolet,Item,[9D00FF]Neon Violet Elevator[-]
TheMeanOnesServerSideElevatorBlack,Item,[000000]Black Elevator[-]
TheMeanOnesServerSideElevatorBrown,Item,[8B4513]Brown Elevator[-]
TheMeanOnesServerSideElevatorGrey,Item,[808080]Grey Elevator[-]
TheMeanOnesServerSideElevatorCrimson,Item,[DC143C]Crimson Elevator[-]
TheMeanOnesServerSideElevatorAqua,Item,[00FFFF]Aqua Elevator[-]
TheMeanOnesServerSideElevatorDeepPink,Item,[FF1493]Deep Pink Elevator[-]
TheMeanOnesServerSideElevatorChartreuse,Item,[7FFF00]Chartreuse Elevator[-]

